No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000001	19980709173647	1998.07.09	17:36:47.80	37.9500	26.7400	0021	5.3	5.3	0.0		0.0	0.0	Ke	EGE DENIZI
000002	19980704021547	1998.07.04	02:15:47.20	36.8500	35.4700	0035	5.1	5.1	0.0		0.0	0.0	Ke	BELOREN-YUREGIR (ADANA) [North West  9.0 km]
000003	19980627135551	1998.06.27	13:55:51.80	36.9600	35.5200	0018	6.3	6.3	0.0		0.0	0.0	Ke	HASANBEYLI-SARICAM (ADANA) [South 10.1 km]
000004	19980413151430	1998.04.13	15:14:30.50	39.2300	41.0700	0009	5.0	5.0	0.0		0.0	0.0	Ke	SERPMEKAYA-KARLIOVA (BINGOL) [South East  3.9 km]
000005	19970303160014	1997.03.03	16:00:14.20	40.5300	36.3700	0000	5.0	5.0	0.0		0.0	0.0	Ke	CERKEZFINDICAK-ERBAA (TOKAT) [South West  3.4 km]
000006	19970122182451	1997.01.22	18:24:51.20	36.1300	36.0800	0023	5.0	5.0	0.0		0.0	0.0	Ke	OZBEK-SAMANDAG (HATAY) [North East  1.4 km]
000007	19970122175719	1997.01.22	17:57:19.60	36.1400	36.1200	0023	5.5	5.5	0.0		0.0	0.0	Ke	YESILPINAR- (HATAY) [North East  0.4 km]
000008	19960814030103	1996.08.14	03:01:03.70	40.3200	35.1400	0010	5.2	5.2	0.0		0.0	0.0	Ke	HIMIROGLU- (ÇORUM) [South East  1.5 km]
000009	19960814025940	1996.08.14	02:59:40.50	40.7900	35.2300	0016	5.4	5.4	0.0		0.0	0.0	Ke	EYMIR-MERZIFON (AMASYA) [South West  0.9 km]
000010	19960814015502	1996.08.14	01:55:02.70	40.7400	35.2900	0017	5.6	5.6	0.0		0.0	0.0	Ke	KUCUKCAY-MERZIFON (AMASYA) [North East  1.3 km]
000011	19951205185240	1995.12.05	18:52:40.40	39.4800	40.3200	0033	5.3	0.0	0.0		0.0	5.3	Ke	KABAYEL-YEDISU (BINGOL) [North East  0.9 km]
000012	19951205184932	1995.12.05	18:49:32.10	39.3500	40.2200	0033	5.7	5.6	0.0		5.7	5.4	Ke	SABIRTASI-KIGI (BINGOL) [North East  7.5 km]
000013	19951001155713	1995.10.01	15:57:13.10	38.1100	30.0500	0005	6.0	0.0	0.0		6.0	0.0	Ke	BELENPINAR-DINAR (AFYONKARAHISAR) [South 0.6 km]
000014	19950214111316	1995.02.14	11:13:16.10	37.7500	42.9600	0000	5.4	5.4	0.0		0.0	0.0	Ke	SARIYAPRAK-PERVARI (SIIRT) [North East  11.2 km]
000015	19941120143102	1994.11.20	14:31:02.40	35.3500	39.5400	0029	5.1	0.0	0.0		0.0	5.1	Ke	SURIYE
000016	19940524021834	1994.05.24	02:18:34.90	38.7600	26.6000	0016	5.1	5.1	0.0		4.9	5.0	Ke	EGE DENIZI
000017	19940524020536	1994.05.24	02:05:36.20	38.6600	26.5400	0017	5.3	5.0	0.0		5.3	5.0	Ke	IZMIR KÖRFEZI (EGE DENIZI)
000018	19940128154524	1994.01.28	15:45:24.60	38.6900	27.4900	0005	5.2	0.0	5.2		5.1	5.2	Ke	YENIKOY- (MANISA) [North East  0.6 km]
000019	19940103210030	1994.01.03	21:00:30.40	37.0000	35.8400	0026	5.0	5.0	0.0		4.8	5.0	Ke	CIFTLIKLER-CEYHAN (ADANA) [North West  3.5 km]
000020	19930826100357	1993.08.26	10:03:57.50	36.7300	28.0500	0033	5.3	4.6	0.0		4.5	5.3	Ke	SELIMIYE-MARMARIS (MUGLA) [North West  4.5 km]
000021	19930614195942	1993.06.14	19:59:42.60	39.6200	38.4100	0026	5.0	0.0	0.0		4.5	5.0	Ke	YALINGOZE-ILIC (ERZINCAN) [South West  1.9 km]
000022	19921106190809	1992.11.06	19:08:09.20	38.1600	26.9900	0017	6.0	0.0	5.7		6.0	5.7	Ke	ORHANLI-SEFERIHISAR (IZMIR) [East 3.5 km]
000023	19920507191503	1992.05.07	19:15:03.30	38.6900	40.1400	0018	5.0	0.0	0.0		4.5	5.0	Ke	GULLUCE-PALU (ELAZIG) [South East  0.8 km]
000024	19920430114438	1992.04.30	11:44:38.90	35.0500	26.6500	0020	5.7	0.0	0.0		5.7	5.7	Ke	AKDENIZ
000025	19920315161625	1992.03.15	16:16:25.30	39.5300	39.9300	0029	5.8	0.0	0.0		5.8	5.4	Ke	DAGYOLU-PULUMUR (TUNCELI) [South East  2.2 km]
000026	19920313183757	1992.03.13	18:37:57.30	39.8700	39.4600	0034	5.1	0.0	0.0		5.1	4.7	Ke	AKDAG-KELKIT (GUMUSHANE) [South East  2.9 km]
000027	19920313171839	1992.03.13	17:18:39.40	39.7200	39.6300	0023	6.8	0.0	0.0		6.8	6.1	Ke	GUNEBAKAN- (ERZINCAN) [South West  1.7 km]
000028	19911205202155	1991.12.05	20:21:55.30	36.1300	31.8000	0115	5.2	0.0	0.0		0.0	5.2	Ke	ANTALYA KÖRFEZI (AKDENIZ)
000029	19911018140454	1991.10.18	14:04:54.90	35.6900	28.4800	0052	5.3	0.0	0.0		0.0	5.3	Ke	AKDENIZ
000030	19911006014647	1991.10.06	01:46:47.50	41.0900	43.4000	0018	5.0	0.0	0.0		4.6	5.0	Ke	KAKAC-ARPACAY (KARS) [East 4.6 km]
000031	19910724094544	1991.07.24	09:45:44.40	36.5200	44.0400	0046	5.4	0.0	0.0		5.1	5.4	Ke	IRAK
000032	19910603102240	1991.06.03	10:22:40.40	40.0400	42.8500	0028	5.0	0.0	0.0		4.4	5.0	Ke	DEGIRMENDERE-KAGIZMAN (KARS) [South East  2.2 km]
000033	19910410010842	1991.04.10	01:08:42.90	37.3100	36.1400	0033	5.2	0.0	0.0		4.6	5.2	Ke	MEZRETLI-KADIRLI (OSMANIYE) [South East  2.9 km]
000034	19910311183343	1991.03.11	18:33:43.30	37.0100	30.9600	0113	5.2	0.0	0.0		0.0	5.2	Ke	TEKKEKOY-SERIK (ANTALYA) [South West  0.8 km]
000035	19910212095458	1991.02.12	09:54:58.90	40.8000	28.8200	0010	5.0	0.0	5.0		4.8	4.8	Ke	MARMARA DENIZI
000036	19910115210106	1991.01.15	21:01:06.00	37.1200	29.4800	0001	5.3	0.0	4.3		0.0	5.3	Ke	GOLHISAR (BURDUR) [South West  3.4 km]
000037	19901216154540	1990.12.16	15:45:40.30	41.3700	43.7200	0024	5.2	0.0	0.0		5.1	5.2	Ke	GÜRCISTAN
