,TARİH,Saat (T.S.),YER,ŞİDDET,MAG (Ms),CAN KAYBI,HASARLI BİNA
0,29.4.1903,01:46,Malazgirt (MUŞ),IX,6.7,600,450
1,9.8.1912,03:29,Mürefte (TEKİRDAĞ),X,7.3,216,5540
2,4.10.1914,00:07,BURDUR,IX,6.9,300,6000
3,13.9.1924,16:34,Horasan (ERZURUM),IX,6.8,60,380
4,7.8.1925,08:46,Dinar (AFYON),VIII,5.9,3,2043
5,22.10.1926,21:59,KARS - ERMENİSTAN,VIII,6.0,355,-
6,31.3.1928,02:29,Torbalı (İZMİR),IX,6.5,50,2500
7,18.5.1929,08:37,Suşehri (SİVAS),VIII,6.1,64,1357
8,7.5.1930,00:34,TÜRK –İRAN SINIRI,X,7.2,2514,-
9,19.7.1933,22:07,Çivril (DENİZLİ),VIII,5.7,20,200
10,4.1.1935,16:41,Erdek (BALIKESİR),VIII,6.4,5,600
11,19.4.1938,12:59,KIRŞEHİR,IX,6.6,160,4066
12,22.9.1939,02:36,Dikili (İZMİR),IX,6.6,60,1235
13,21.11.1939,10:48,Tercan (ERZİNCAN),VII,5.9,43,-
14,27.12.1939,01:57,ERZİNCAN,X-XI,7.9,32968,116720
15,13.4.1940,08:29,YOZGAT -KAYSERİ,VIII,5.6,-,1000
16,23.5.1941,21:51,MUĞLA,VIII,6.0,-,200
17,10.9.1941,23:53,Erciş (VAN),VIII,5.9,192,600
18,12.11.1941,12:04,ERZİNCAN,VIII,5.9,15,-
19,15.11.1942,19:01,Bigadiç (BALIKESİR),VIII,6.1,16,2187
20,21.11.1942,16:01,Osmancık (ÇORUM),VIII,5.5,2,150
21,20.12.1942,16:03,Erbaa (TOKAT),IX,7.0,3000,32000
22,20.6.1943,17:32,Hendek (ADAPAZARI),IX,6.6,336,2240
23,27.11.1943,00:20,Ladik (SAMSUN),IX-X,7.2,4000,40000
24,1.2.1944,05:22,Gerede-Çerkeş (BOLU),IX-X,7.2,3959,20865
25,25.6.1944,06:16,Gediz (UŞAK),VIII,6.0,21,3476
26,6.10.1944,04:34,Ayvalık (BALIKESİR),IX,6.8,30,5500
27,20.3.1945,09:58,Ceyhan-Misis(ADANA),VIII,6.0,13,2500
28,21.2.1946,17:43,Ilgın (KONYA),VIII,5.5,12,3349
29,31.5.1946,05:12,Varto-Hınıs (MUŞ),VIII,5.9,839,3000
30,23.7.1949,17:03,Karaburun (İZMİR),IX,6.6,7,865
31,17.8.1949,20:44,Karlıova (BİNGÖL),IX,6.7,450,3500
32,8.4.1951,23:38,İskenderun(ANTAKYA),VIII,5.8,6,13
33,13.8.1951,20:33,Kurşunlu (ÇANKIRI),IX,6.9,50,3354
34,3.1.1952,08:03,Hasankale (ERZURUM),VIII,5.8,41,701
35,22.10.1952,19:00,Ceyhan –Misis(ADANA),VIII,5.6,10,617
36,18.3.1953,21:06,Yenice (ÇANAKKALE),IX,7.2,265,6750
37,7.9.1953,05:58,Kurşunlu (ÇANKIRI),VIII,6.0,2,230
38,16.7.1955,09:07,Söke-Balat (AYDIN),IX,6.8,23,470
39,20.2.1956,22:31,ESKİŞEHİR,VIII,6.4,1,2819
40,25.4.1957,04:25,FethiyeRodos(MUĞLA),IX,7.1,67,3200
41,26.5.1957,08:33,Abant (BOLU),IX,7.1,52,5200
42,25.4.1959,02:26,Köyceğiz (MUĞLA),VIII,5.9,-,775
43,23.5.1961,04:45,FethiyeRodos(MUĞLA),VIII,6.3,-,61
44,18.9.1963,18:58,Çınarcık (İSTANBUL),VIII,6.3,1,230
45,30.1.1964,19:45,Tefenni (BURDUR),VIII,5.7,-,39
46,14.6.1964,15:15,MALATYA,VIII,6.0,8,847
47,6.10.1964,16:31,Manyas (BALIKESİR),IX,7.0,23,5398
48,13.6.1965,22:01,DENİZLİ,VIII,5.7,14,488
49,7.3.1966,03:16,Varto-Hınıs (MUŞ),VIII,5.6,14,1100
50,19.8.1966,14:22,Varto (MUŞ),IX,6.9,2396,20007
51,22.7.1967,18:56,Mudurnu(ADAPAZARI),IX,6.8,89,7116
52,26.7.1967,20:53,Pülümür (TUNCELİ),VIII,5.9,97,1282
53,3.9.1968,10:19,Bartın (ZONGULDAK),VIII,6.5,29,2478
54,23.3.1969,23:08,Demirci (MANİSA),VIII,5.9,-,945
55,28.3.1970,03:48,Alaşehir (MANİSA,VIII,6.5,53,3072
56,6.4.1969,05:49,Karaburun (İZMİR),VIII,5.9,-,1360
57,28.3.1970,23:02,Gediz (KÜTAHYA),IX,7.2,1086,19291
58,19.4.1970,15:29,Gediz (KÜTAHYA),VIII,5.8,-,1360
59,23.4.1970,11:01,Demirci (MANİSA),VIII,5.6,-,411
60,12.5.1971,08:25,BURDUR,VIII,5.9,57,3227
61,22.5.1971,18:43,BİNGÖL,VIII,6.8,878,9111
62,6.9.1975,12:20,Lice (DİYARBAKIR),VIII,6.6,2385,8149
63,24.11.1976,14:22,Muradiye (VAN),IX,7.5,3840,9232
64,5.7.1983,15:01,Biga (ÇANAKKALE),VIII,6.1,3,85
65,30.10.1983,07:12,ERZURUM – KARS,VIII,6.9,1155,3241
66,18.9.1984,15:26,Balkaya (ERZURUM),VIII,6.4,3,570
67,5.5.1986,06:35,Doğanşehir(MALATYA),VIII,5.9,7,824
68,6.6.1986,13:39,Doğanşehir(MALATYA),VIII,5.6,1,1174
69,7.12.1988,09:41,Kars – ERMENİSTAN,X,6.9,4,546
70,13.3.1992,19:08,ERZİNCAN,VIII,6.8,653,8057
71,15.3.1992,18:16,Pülümür (TUNCELİ),VII,5.8,-,439
72,6.11.1992,21:08,Doğanbey (İZMİR),VII,6.0,-,55
73,28.1.1994,17:45,MANİSA,VI,5.1,-,44
74,1.10.1995,17:57,Dinar (AFYON),VIII,6.1,90,14156
75,5.12.1995,18:49,Kığı (TUNCELİ),VI+,5.7,1,-
76,14.8.1996,01:55,Mecitözü (AMASYA),VI+,5.6,1,2606
77,22.1.1997,17:57,ANTAKYA,VI+,5.4,1,1841
78,13.4.1998,18:14,Karlıova (BİNGÖL),VI,5.0,-,148
79,27.6.1998,16:55,Ceyhan (ADANA),VIII,6.2,146,31463
80,17.8.1999,03:01,Gölcük (KOCAELİ),X,7.8,17480,73342
81,12.11.1999,18:57,DÜZCE,IX,7.5,763,35519
82,6.6.2000,05:41,Orta (ÇANKIRI),VII,6.1,1,1766
83,15.12.2000,18:44,Sultandağı (AFYON),VII,5.8,6,547
84,25.6.2001,16:28,OSMANİYE,VII,5.5,-,66
85,3.2.2002,09:11,Çay - Sultandağı (AFYON),VII,6.4,44,622
86,27.1.2003,07:26,Pülümür (TUNCELİ),VII,6.2,1,50
87,1.5.2003,03:27,BİNGÖL,VIII,6.4,176,6000
88,25.3.2004,21:30,Kandilli-Aşkale(ERZURUM),VII,5.6,9,1280
89,2.7.2004,01:30,Doğubayazıt (AĞRI),VII,5.1,17,1000
90,11.8.2004,18:48,Sivrice (ELAZIĞ),VII,5.9,,
91,25.1.2005,18:44,Hakkari,VII,5.9,,
92,12.3.2005,09:36,Karlıova (BİNGÖL),VI,5.7,,
